Created,Uid,Name,Email,LastPage,NumSessions,LastSessionTime,LastSessionSec,LastSessionActiveSec,LastSessionNumPages,LastSessionNumEvents,LastBrowser,LastDevice,LastOperatingSystem,TotalSec,TotalActiveSec,AvgSessionSec,AvgSessionActiveSec,NumEvents,LastMatchingIp,LastMatchingLatLong,LastMatchingSessionLink
2022-09-07 05:46:54,,User 10073,,https://varonismvp1.varonis.io/analytics/physicalpermissions/2/0Z4ZsDC7,86,2022-12-12 10:46:38,1421,306,3,163,Chrome,Desktop,Windows,175302,9237,2038,107,5030,213.57.30.227,"32.0803,34.7805",https://app.fullstory.com/ui/12QN62/session/5273842384015360:5273842384015360!4784885403832320
2022-10-04 08:32:55,,User 11003,,https://phoenix-gov.varonis.io/dashboard/Alerts,25,2022-12-10 00:45:21,2605,89,1,65,Chrome,Desktop,Windows,64588,5527,2584,221,2659,198.231.27.27,"40.7503,-74.0014",https://app.fullstory.com/ui/12QN62/session/6680473231003648:6680473231003648!5039043673935872
2022-10-24 12:48:31,,User 12023,,https://varonismvp.varonis.io/management/health,56,2022-12-11 20:53:47,33,19,3,34,Chrome,Desktop,Windows,91998,7960,1643,142,3850,91.208.129.129,"32.1678,34.8205",https://app.fullstory.com/ui/12QN62/session/4555453260337152:4555453260337152!6290942903013376
2022-11-03 15:55:42,,User 13046,,https://wgresorts.varonis.io/analytics/events/1/qPCgourl,28,2022-12-09 23:24:54,2525,52,3,58,Microsoft Edge,Desktop,Windows,89696,8371,3203,299,3757,198.231.26.250,"37.751,-97.822",https://app.fullstory.com/ui/12QN62/session/6573673338654720:6573673338654720!5519500157554688
2022-11-06 06:38:42,,User 13079,,https://varonismvp.varonis.io/analytics/events/1/984ohlD3,143,2022-12-12 09:49:48,33,0,1,3,Microsoft Edge,Desktop,Windows,618495,30257,4325,212,14396,213.57.30.227,"32.0803,34.7805",https://app.fullstory.com/ui/12QN62/session/4712141039095808:4712141039095808!6572823699607552
2022-11-14 16:22:23,,User 13217,,https://smcc-edu.varonis.io/dashboard/Compliance,22,2022-12-10 05:39:59,259,228,4,165,Chrome,Desktop,Windows,92619,6770,4210,308,3306,198.231.27.27,"40.7503,-74.0014",https://app.fullstory.com/ui/12QN62/session/6420856802398208:6420856802398208!4654588947943424
2022-12-02 17:37:23,,User 13548,,https://phoenix-gov.varonis.io/analytics/resources/2,17,2022-12-10 15:35:04,3912,414,2,208,Chrome,Desktop,Windows,88121,7828,5184,460,5341,198.231.27.27,"40.7503,-74.0014",https://app.fullstory.com/ui/12QN62/session/5920111054442496:5920111054442496!5052649870282752
2022-12-09 20:43:14,,User 14256,,https://dhr-rgv.varonis.io/dashboard/FileServers,3,2022-12-12 03:31:54,1988,132,2,94,Microsoft Edge,Desktop,Windows,13258,938,4419,313,512,198.231.27.27,"40.7503,-74.0014",https://app.fullstory.com/ui/12QN62/session/6696147954520064:6696147954520064!4529529568710656
2022-12-11 07:30:33,,User 14260,,https://prereqtesttenant.varonis.io/error/401,1,2022-12-11 07:30:33,14,9,2,29,Microsoft Edge,Desktop,Windows,14,9,14,9,29,91.208.129.129,"32.1678,34.8205",https://app.fullstory.com/ui/12QN62/session/5999536366505984:5999536366505984!5644597551255552
2022-12-11 08:57:41,,User 14261,,https://varonismvp1.varonis.io/management/policies/4,4,2022-12-11 15:29:49,1933,16,1,37,Chrome,Desktop,Windows,13511,515,3378,129,421,91.208.129.129,"32.1678,34.8205",https://app.fullstory.com/ui/12QN62/session/4627908027568128:4627908027568128!6472582371561472